Task,Model,Representation,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Discipline,Logistic Regression,TF-IDF word unigrams (capped discipline),0.614,0.611,0.612,0.61,0.611,0.614,0.611
Field,Logistic Regression,TF-IDF word unigrams (uncapped field),0.527,0.519,0.528,0.522,0.518,0.527,0.521
