Task,Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Discipline,TF-IDF + Logistic regression,0.554,0.583,0.475,0.513,0.566,0.554,0.543
Field,TF-IDF + Logistic regression,0.509,0.501,0.509,0.5,0.503,0.509,0.501
