Task,Model,Representation,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
Discipline,Logistic Regression,TF-IDF word unigrams (capped discipline),0.613,0.612,0.612,0.61,0.612,0.613,0.611
Field,Logistic Regression,TF-IDF word unigrams (uncapped field),0.526,0.517,0.527,0.52,0.516,0.526,0.519
